in init
3
 &FCI NORB= 72,NELEC=14,MS2= 0,

4
  ORBSYM=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

5
  ISYM=0

6
 &END

found the Namelist
NORB= 72
read the namelist
found E_nucc
finished init
NELECd= 15 NELECs= 1 NELECe= 56 NORB= 72
ENERGY: -296.510170062 ITERATION: 1
ENERGY: -283.102924307 ITERATION: 1
ENERGY: -295.558260295 ITERATION: 2
ENERGY: -307.991908932 ITERATION: 2
ENERGY: -296.473824666 ITERATION: 3
ENERGY: -291.571194524 ITERATION: 3
ENERGY: -297.713109264 ITERATION: 4
ENERGY: -302.62929028 ITERATION: 4
ENERGY: -298.349461129 ITERATION: 5
ENERGY: -296.496604881 ITERATION: 5
ENERGY: -298.627944202 ITERATION: 6
ENERGY: -299.77637901 ITERATION: 6
ENERGY: -298.693631187 ITERATION: 7
ENERGY: -298.195097282 ITERATION: 7
ENERGY: -298.714979455 ITERATION: 8
ENERGY: -298.981218076 ITERATION: 8
ENERGY: -298.720221448 ITERATION: 9
ENERGY: -298.589757631 ITERATION: 9
ENERGY: -298.723125978 ITERATION: 10
ENERGY: -298.786493137 ITERATION: 10
ENERGY: -298.724915043 ITERATION: 11
ENERGY: -298.68644371 ITERATION: 11
ENERGY: -298.726832575 ITERATION: 12
ENERGY: -298.740427093 ITERATION: 12
ENERGY: -298.728800022 ITERATION: 13
ENERGY: -298.715705932 ITERATION: 13
ENERGY: -298.730760506 ITERATION: 14
ENERGY: -298.733666068 ITERATION: 14
ENERGY: -298.732572703 ITERATION: 15
ENERGY: -298.728928958 ITERATION: 15
ENERGY: -298.734111441 ITERATION: 16
ENERGY: -298.736008013 ITERATION: 16
ENERGY: -298.735353106 ITERATION: 17
ENERGY: -298.735714035 ITERATION: 17
ENERGY: -298.736302122 ITERATION: 18
ENERGY: -298.738508456 ITERATION: 18
ENERGY: -298.737011662 ITERATION: 19
ENERGY: -298.738746582 ITERATION: 19
ENERGY: -298.737528882 ITERATION: 20
ENERGY: -298.739740765 ITERATION: 20
ENERGY: -298.737903808 ITERATION: 21
ENERGY: -298.739844463 ITERATION: 21
ENERGY: -298.738172813 ITERATION: 22
ENERGY: -298.740118914 ITERATION: 22
ENERGY: -298.738365911 ITERATION: 23
ENERGY: -298.740089876 ITERATION: 23
ENERGY: -298.738503993 ITERATION: 24
ENERGY: -298.740097266 ITERATION: 24
ENERGY: -298.738602921 ITERATION: 25
ENERGY: -298.740007217 ITERATION: 25
ENERGY: -298.738673705 ITERATION: 26
ENERGY: -298.739928306 ITERATION: 26
ENERGY: -298.738724433 ITERATION: 27
ENERGY: -298.739823599 ITERATION: 27
ENERGY: -298.738760761 ITERATION: 28
ENERGY: -298.739727474 ITERATION: 28
ENERGY: -298.738786793 ITERATION: 29
ENERGY: -298.739629748 ITERATION: 29
ENERGY: -298.738805423 ITERATION: 30
ENERGY: -298.739540932 ITERATION: 30
ENERGY: -298.738818744 ITERATION: 31
ENERGY: -298.739457906 ITERATION: 31
ENERGY: -298.738828244 ITERATION: 32
ENERGY: -298.739383483 ITERATION: 32
ENERGY: -298.738834998 ITERATION: 33
ENERGY: -298.739316322 ITERATION: 33
ENERGY: -298.738839776 ITERATION: 34
ENERGY: -298.739256781 ITERATION: 34
ENERGY: -298.738843135 ITERATION: 35
ENERGY: -298.739203979 ITERATION: 35
ENERGY: -298.738845475 ITERATION: 36
ENERGY: -298.739157544 ITERATION: 36
ENERGY: -298.738847086 ITERATION: 37
ENERGY: -298.739116765 ITERATION: 37
ENERGY: -298.738848177 ITERATION: 38
ENERGY: -298.73908111 ITERATION: 38
ENERGY: -298.738848898 ITERATION: 39
ENERGY: -298.739049984 ITERATION: 39
ENERGY: -298.73884936 ITERATION: 40
ENERGY: -298.739022882 ITERATION: 40
ENERGY: -298.738849639 ITERATION: 41
ENERGY: -298.738999317 ITERATION: 41
ENERGY: -298.738849793 ITERATION: 42
ENERGY: -298.738978861 ITERATION: 42
ENERGY: -298.738849861 ITERATION: 43
ENERGY: -298.738961123 ITERATION: 43
ENERGY: -298.738849872 ITERATION: 44
ENERGY: -298.738945759 ITERATION: 44
ENERGY: -298.738849847 ITERATION: 45
ENERGY: -298.738932464 ITERATION: 45
ENERGY: -298.7388498 ITERATION: 46
ENERGY: -298.738920968 ITERATION: 46
ENERGY: -298.73884974 ITERATION: 47
ENERGY: -298.738911035 ITERATION: 47
ENERGY: -298.738849674 ITERATION: 48
ENERGY: -298.738902456 ITERATION: 48
ENERGY: -298.738849606 ITERATION: 49
ENERGY: -298.738895052 ITERATION: 49
ENERGY: -298.738849541 ITERATION: 50
ENERGY: -298.738888664 ITERATION: 50
ENERGY: -298.738849479 ITERATION: 51
ENERGY: -298.738883154 ITERATION: 51
ENERGY: -298.738849421 ITERATION: 52
ENERGY: -298.738878405 ITERATION: 52
ENERGY: -298.738849368 ITERATION: 53
ENERGY: -298.738874312 ITERATION: 53
ENERGY: -298.73884932 ITERATION: 54
ENERGY: -298.738870785 ITERATION: 54
ENERGY: -298.738849277 ITERATION: 55
ENERGY: -298.738867747 ITERATION: 55
ENERGY: -298.738849239 ITERATION: 56
ENERGY: -298.73886513 ITERATION: 56
ENERGY: -298.738849205 ITERATION: 57
ENERGY: -298.738862877 ITERATION: 57
ENERGY: -298.738849175 ITERATION: 58
ENERGY: -298.738860937 ITERATION: 58
ENERGY: -298.738849149 ITERATION: 59
ENERGY: -298.738859268 ITERATION: 59
ENERGY: -298.738849126 ITERATION: 60
ENERGY: -298.73885783 ITERATION: 60
ENERGY: -298.738849106 ITERATION: 61
ENERGY: -298.738856594 ITERATION: 61
ENERGY: -298.738849089 ITERATION: 62
ENERGY: -298.738855529 ITERATION: 62
ENERGY: -298.738849074 ITERATION: 63
ENERGY: -298.738854613 ITERATION: 63
ENERGY: -298.738849061 ITERATION: 64
ENERGY: -298.738853825 ITERATION: 64
ENERGY: -298.738849049 ITERATION: 65
ENERGY: -298.738853147 ITERATION: 65
ENERGY: -298.738849039 ITERATION: 66
ENERGY: -298.738852564 ITERATION: 66
ENERGY: -298.738849031 ITERATION: 67
ENERGY: -298.738852062 ITERATION: 67
ENERGY: -298.738849023 ITERATION: 68
ENERGY: -298.738851631 ITERATION: 68
ENERGY: -298.738849017 ITERATION: 69
ENERGY: -298.738851259 ITERATION: 69
ENERGY: -298.738849012 ITERATION: 70
ENERGY: -298.73885094 ITERATION: 70
ENERGY: -298.738849007 ITERATION: 71
ENERGY: -298.738850665 ITERATION: 71
ENERGY: -298.738849003 ITERATION: 72
ENERGY: -298.738850429 ITERATION: 72
ENERGY: -298.738848999 ITERATION: 73
ENERGY: -298.738850226 ITERATION: 73
ENERGY: -298.738848996 ITERATION: 74
ENERGY: -298.738850051 ITERATION: 74
ENERGY: -298.738848994 ITERATION: 75
ENERGY: -298.738849901 ITERATION: 75
ENERGY: -298.738848991 ITERATION: 76
ENERGY: -298.738849771 ITERATION: 76
ENERGY: -298.738848989 ITERATION: 77
ENERGY: -298.73884966 ITERATION: 77
ENERGY: -298.738848988 ITERATION: 78
ENERGY: -298.738849565 ITERATION: 78
finished calculating
skipped newFCIDUMP
