in init
3
 &FCI NORB= 71,NELEC=14,MS2= 0,

4
  ORBSYM=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

5
  ISYM=0

6
 &END

found the Namelist
NORB= 71
read the namelist
found E_nucc
finished init
NELECd= 15 NELECs= 1 NELECe= 55 NORB= 71
ENERGY: -299.293528404 ITERATION: 1
ENERGY: -288.636209378 ITERATION: 1
ENERGY: -298.12850196 ITERATION: 2
ENERGY: -304.463150384 ITERATION: 2
ENERGY: -299.503939557 ITERATION: 3
ENERGY: -297.324983765 ITERATION: 3
ENERGY: -299.893672273 ITERATION: 4
ENERGY: -301.524299772 ITERATION: 4
ENERGY: -300.015586762 ITERATION: 5
ENERGY: -299.283359518 ITERATION: 5
ENERGY: -300.058254552 ITERATION: 6
ENERGY: -300.484471982 ITERATION: 6
ENERGY: -300.071248728 ITERATION: 7
ENERGY: -299.858335351 ITERATION: 7
ENERGY: -300.075406859 ITERATION: 8
ENERGY: -300.186762619 ITERATION: 8
ENERGY: -300.077055005 ITERATION: 9
ENERGY: -300.017174874 ITERATION: 9
ENERGY: -300.078074384 ITERATION: 10
ENERGY: -300.105896647 ITERATION: 10
ENERGY: -300.079149999 ITERATION: 11
ENERGY: -300.06135778 ITERATION: 11
ENERGY: -300.080594061 ITERATION: 12
ENERGY: -300.085697485 ITERATION: 12
ENERGY: -300.082641103 ITERATION: 13
ENERGY: -300.076039063 ITERATION: 13
ENERGY: -300.085536532 ITERATION: 14
ENERGY: -300.08485995 ITERATION: 14
ENERGY: -300.08945185 ITERATION: 15
ENERGY: -300.086471302 ITERATION: 15
ENERGY: -300.094429804 ITERATION: 16
ENERGY: -300.093489197 ITERATION: 16
ENERGY: -300.100241158 ITERATION: 17
ENERGY: -300.099465527 ITERATION: 17
ENERGY: -300.106404488 ITERATION: 18
ENERGY: -300.106421872 ITERATION: 18
ENERGY: -300.112327012 ITERATION: 19
ENERGY: -300.112371986 ITERATION: 19
ENERGY: -300.117543058 ITERATION: 20
ENERGY: -300.117465159 ITERATION: 20
ENERGY: -300.121836962 ITERATION: 21
ENERGY: -300.121463018 ITERATION: 21
ENERGY: -300.12521246 ITERATION: 22
ENERGY: -300.124646587 ITERATION: 22
ENERGY: -300.127786088 ITERATION: 23
ENERGY: -300.127154368 ITERATION: 23
ENERGY: -300.129703627 ITERATION: 24
ENERGY: -300.12912393 ITERATION: 24
ENERGY: -300.131103279 ITERATION: 25
ENERGY: -300.130632879 ITERATION: 25
ENERGY: -300.132105982 ITERATION: 26
ENERGY: -300.13176092 ITERATION: 26
ENERGY: -300.132813305 ITERATION: 27
ENERGY: -300.132582573 ITERATION: 27
ENERGY: -300.133306805 ITERATION: 28
ENERGY: -300.133169124 ITERATION: 28
ENERGY: -300.133648928 ITERATION: 29
ENERGY: -300.133580946 ITERATION: 29
ENERGY: -300.133885532 ITERATION: 30
ENERGY: -300.133866499 ITERATION: 30
ENERGY: -300.134049249 ITERATION: 31
ENERGY: -300.134062415 ITERATION: 31
ENERGY: -300.134162813 ITERATION: 32
ENERGY: -300.134195574 ITERATION: 32
ENERGY: -300.134241867 ITERATION: 33
ENERGY: -300.134285195 ITERATION: 33
ENERGY: -300.134297116 ITERATION: 34
ENERGY: -300.134344834 ITERATION: 34
ENERGY: -300.13433588 ITERATION: 35
ENERGY: -300.134383955 ITERATION: 35
ENERGY: -300.134363176 ITERATION: 36
ENERGY: -300.134409124 ITERATION: 36
ENERGY: -300.134382457 ITERATION: 37
ENERGY: -300.134424873 ITERATION: 37
ENERGY: -300.134396112 ITERATION: 38
ENERGY: -300.134434321 ITERATION: 38
ENERGY: -300.134405802 ITERATION: 39
ENERGY: -300.134439606 ITERATION: 39
ENERGY: -300.134412688 ITERATION: 40
ENERGY: -300.134442186 ITERATION: 40
ENERGY: -300.134417587 ITERATION: 41
ENERGY: -300.13444305 ITERATION: 41
ENERGY: -300.134421073 ITERATION: 42
ENERGY: -300.134442863 ITERATION: 42
ENERGY: -300.134423554 ITERATION: 43
ENERGY: -300.13444207 ITERATION: 43
ENERGY: -300.134425319 ITERATION: 44
ENERGY: -300.13444096 ITERATION: 44
ENERGY: -300.134426572 ITERATION: 45
ENERGY: -300.134439721 ITERATION: 45
ENERGY: -300.134427461 ITERATION: 46
ENERGY: -300.134438468 ITERATION: 46
ENERGY: -300.13442809 ITERATION: 47
ENERGY: -300.134437272 ITERATION: 47
ENERGY: -300.134428534 ITERATION: 48
ENERGY: -300.13443617 ITERATION: 48
ENERGY: -300.134428847 ITERATION: 49
ENERGY: -300.13443518 ITERATION: 49
ENERGY: -300.134429065 ITERATION: 50
ENERGY: -300.134434305 ITERATION: 50
ENERGY: -300.134429217 ITERATION: 51
ENERGY: -300.134433544 ITERATION: 51
ENERGY: -300.134429322 ITERATION: 52
ENERGY: -300.134432889 ITERATION: 52
ENERGY: -300.134429394 ITERATION: 53
ENERGY: -300.134432329 ITERATION: 53
ENERGY: -300.134429443 ITERATION: 54
ENERGY: -300.134431854 ITERATION: 54
ENERGY: -300.134429476 ITERATION: 55
ENERGY: -300.134431454 ITERATION: 55
ENERGY: -300.134429497 ITERATION: 56
ENERGY: -300.134431118 ITERATION: 56
ENERGY: -300.134429511 ITERATION: 57
ENERGY: -300.134430838 ITERATION: 57
ENERGY: -300.134429519 ITERATION: 58
ENERGY: -300.134430604 ITERATION: 58
ENERGY: -300.134429524 ITERATION: 59
ENERGY: -300.134430411 ITERATION: 59
ENERGY: -300.134429526 ITERATION: 60
ENERGY: -300.13443025 ITERATION: 60
ENERGY: -300.134429527 ITERATION: 61
ENERGY: -300.134430117 ITERATION: 61
ENERGY: -300.134429527 ITERATION: 62
ENERGY: -300.134430008 ITERATION: 62
ENERGY: -300.134429526 ITERATION: 63
ENERGY: -300.134429918 ITERATION: 63
finished calculating
skipped newFCIDUMP
