in init
3
 &FCI NORB= 72,NELEC=14,MS2= 0,

4
  ORBSYM=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

5
  ISYM=0

6
 &END

found the Namelist
NORB= 72
read the namelist
found E_nucc
finished init
NELECd= 15 NELECs= 1 NELECe= 56 NORB= 72
ENERGY: -295.159211212 ITERATION: 1
ENERGY: -278.897372488 ITERATION: 1
ENERGY: -293.761787522 ITERATION: 2
ENERGY: -311.098916942 ITERATION: 2
ENERGY: -294.554889013 ITERATION: 3
ENERGY: -288.152842063 ITERATION: 3
ENERGY: -296.279897743 ITERATION: 4
ENERGY: -301.723477643 ITERATION: 4
ENERGY: -297.313492229 ITERATION: 5
ENERGY: -296.176721867 ITERATION: 5
ENERGY: -297.546659246 ITERATION: 6
ENERGY: -298.157025366 ITERATION: 6
ENERGY: -297.57901015 ITERATION: 7
ENERGY: -297.370998158 ITERATION: 7
ENERGY: -297.591268756 ITERATION: 8
ENERGY: -297.68668869 ITERATION: 8
ENERGY: -297.593657415 ITERATION: 9
ENERGY: -297.549622249 ITERATION: 9
ENERGY: -297.595663681 ITERATION: 10
ENERGY: -297.608475772 ITERATION: 10
ENERGY: -297.596402184 ITERATION: 11
ENERGY: -297.580877332 ITERATION: 11
ENERGY: -297.597075736 ITERATION: 12
ENERGY: -297.592444018 ITERATION: 12
ENERGY: -297.59752083 ITERATION: 13
ENERGY: -297.586172249 ITERATION: 13
ENERGY: -297.597961785 ITERATION: 14
ENERGY: -297.588168903 ITERATION: 14
ENERGY: -297.598383244 ITERATION: 15
ENERGY: -297.586364661 ITERATION: 15
ENERGY: -297.598840881 ITERATION: 16
ENERGY: -297.586388383 ITERATION: 16
ENERGY: -297.59934313 ITERATION: 17
ENERGY: -297.585661886 ITERATION: 17
ENERGY: -297.599911484 ITERATION: 18
ENERGY: -297.585460946 ITERATION: 18
ENERGY: -297.600556972 ITERATION: 19
ENERGY: -297.585282784 ITERATION: 19
ENERGY: -297.601291791 ITERATION: 20
ENERGY: -297.585475907 ITERATION: 20
ENERGY: -297.602123885 ITERATION: 21
ENERGY: -297.585995108 ITERATION: 21
ENERGY: -297.60305856 ITERATION: 22
ENERGY: -297.586965471 ITERATION: 22
ENERGY: -297.604096903 ITERATION: 23
ENERGY: -297.588390961 ITERATION: 23
ENERGY: -297.605236212 ITERATION: 24
ENERGY: -297.590267779 ITERATION: 24
ENERGY: -297.606470621 ITERATION: 25
ENERGY: -297.592519992 ITERATION: 25
ENERGY: -297.607792886 ITERATION: 26
ENERGY: -297.595041806 ITERATION: 26
ENERGY: -297.609196407 ITERATION: 27
ENERGY: -297.59771198 ITERATION: 27
ENERGY: -297.610676637 ITERATION: 28
ENERGY: -297.600433323 ITERATION: 28
ENERGY: -297.612230509 ITERATION: 29
ENERGY: -297.603153906 ITERATION: 29
ENERGY: -297.613852919 ITERATION: 30
ENERGY: -297.605873593 ITERATION: 30
ENERGY: -297.615530144 ITERATION: 31
ENERGY: -297.608623786 ITERATION: 31
ENERGY: -297.61723203 ITERATION: 32
ENERGY: -297.611428057 ITERATION: 32
ENERGY: -297.6189073 ITERATION: 33
ENERGY: -297.614259709 ITERATION: 33
ENERGY: -297.620487749 ITERATION: 34
ENERGY: -297.617024234 ITERATION: 34
ENERGY: -297.621903482 ITERATION: 35
ENERGY: -297.619582837 ITERATION: 35
ENERGY: -297.623102925 ITERATION: 36
ENERGY: -297.62180386 ITERATION: 36
ENERGY: -297.624066011 ITERATION: 37
ENERGY: -297.623607703 ITERATION: 37
ENERGY: -297.624803871 ITERATION: 38
ENERGY: -297.624981178 ITERATION: 38
ENERGY: -297.625348268 ITERATION: 39
ENERGY: -297.625963773 ITERATION: 39
ENERGY: -297.625738781 ITERATION: 40
ENERGY: -297.626623057 ITERATION: 40
ENERGY: -297.626013445 ITERATION: 41
ENERGY: -297.627033327 ITERATION: 41
ENERGY: -297.626204131 ITERATION: 42
ENERGY: -297.627262558 ITERATION: 42
ENERGY: -297.626335445 ITERATION: 43
ENERGY: -297.627366741 ITERATION: 43
ENERGY: -297.626425445 ITERATION: 44
ENERGY: -297.627388907 ITERATION: 44
ENERGY: -297.626486973 ITERATION: 45
ENERGY: -297.627360488 ITERATION: 45
ENERGY: -297.626528989 ITERATION: 46
ENERGY: -297.627303501 ITERATION: 46
ENERGY: -297.626557675 ITERATION: 47
ENERGY: -297.627232775 ITERATION: 47
ENERGY: -297.626577265 ITERATION: 48
ENERGY: -297.627157893 ITERATION: 48
ENERGY: -297.626590654 ITERATION: 49
ENERGY: -297.627084731 ITERATION: 49
ENERGY: -297.626599812 ITERATION: 50
ENERGY: -297.627016633 ITERATION: 50
ENERGY: -297.626606085 ITERATION: 51
ENERGY: -297.626955261 ITERATION: 51
ENERGY: -297.626610387 ITERATION: 52
ENERGY: -297.626901201 ITERATION: 52
ENERGY: -297.626613341 ITERATION: 53
ENERGY: -297.62685438 ITERATION: 53
ENERGY: -297.626615374 ITERATION: 54
ENERGY: -297.626814348 ITERATION: 54
ENERGY: -297.626616774 ITERATION: 55
ENERGY: -297.626780466 ITERATION: 55
ENERGY: -297.626617742 ITERATION: 56
ENERGY: -297.626752017 ITERATION: 56
ENERGY: -297.626618411 ITERATION: 57
ENERGY: -297.626728285 ITERATION: 57
ENERGY: -297.626618875 ITERATION: 58
ENERGY: -297.626708593 ITERATION: 58
ENERGY: -297.626619198 ITERATION: 59
ENERGY: -297.626692324 ITERATION: 59
ENERGY: -297.626619423 ITERATION: 60
ENERGY: -297.626678932 ITERATION: 60
ENERGY: -297.62661958 ITERATION: 61
ENERGY: -297.626667943 ITERATION: 61
ENERGY: -297.62661969 ITERATION: 62
ENERGY: -297.626658948 ITERATION: 62
ENERGY: -297.626619767 ITERATION: 63
ENERGY: -297.626651602 ITERATION: 63
ENERGY: -297.626619822 ITERATION: 64
ENERGY: -297.626645614 ITERATION: 64
ENERGY: -297.62661986 ITERATION: 65
ENERGY: -297.626640741 ITERATION: 65
ENERGY: -297.626619888 ITERATION: 66
ENERGY: -297.62663678 ITERATION: 66
ENERGY: -297.626619907 ITERATION: 67
ENERGY: -297.626633565 ITERATION: 67
ENERGY: -297.626619921 ITERATION: 68
ENERGY: -297.626630958 ITERATION: 68
ENERGY: -297.626619931 ITERATION: 69
ENERGY: -297.626628846 ITERATION: 69
ENERGY: -297.626619938 ITERATION: 70
ENERGY: -297.626627136 ITERATION: 70
ENERGY: -297.626619944 ITERATION: 71
ENERGY: -297.626625753 ITERATION: 71
ENERGY: -297.626619947 ITERATION: 72
ENERGY: -297.626624634 ITERATION: 72
ENERGY: -297.62661995 ITERATION: 73
ENERGY: -297.626623731 ITERATION: 73
ENERGY: -297.626619952 ITERATION: 74
ENERGY: -297.626623001 ITERATION: 74
ENERGY: -297.626619954 ITERATION: 75
ENERGY: -297.626622411 ITERATION: 75
ENERGY: -297.626619955 ITERATION: 76
ENERGY: -297.626621936 ITERATION: 76
ENERGY: -297.626619956 ITERATION: 77
ENERGY: -297.626621552 ITERATION: 77
ENERGY: -297.626619956 ITERATION: 78
ENERGY: -297.626621243 ITERATION: 78
ENERGY: -297.626619957 ITERATION: 79
ENERGY: -297.626620993 ITERATION: 79
ENERGY: -297.626619957 ITERATION: 80
ENERGY: -297.626620792 ITERATION: 80
ENERGY: -297.626619957 ITERATION: 81
ENERGY: -297.62662063 ITERATION: 81
ENERGY: -297.626619957 ITERATION: 82
ENERGY: -297.626620499 ITERATION: 82
ENERGY: -297.626619958 ITERATION: 83
ENERGY: -297.626620394 ITERATION: 83
ENERGY: -297.626619958 ITERATION: 84
ENERGY: -297.626620309 ITERATION: 84
finished calculating
skipped newFCIDUMP
